form_label,source_file,analysis_set,domain,variable,variable_type,group_by,group_value,n,mean,sd,min,max,min_max
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,group,A,294,24.96,8.21,2.00,40.00,2.00-40.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,group,B,282,24.00,8.36,5.00,40.00,5.00-40.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,gender,Boys,285,24.36,8.42,3.00,40.00,3.00-40.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,gender,Girls,291,24.62,8.18,2.00,40.00,2.00-40.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,new_group,A_Boys,149,24.87,8.26,3.00,40.00,3.00-40.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,new_group,A_Girls,145,25.06,8.19,2.00,40.00,2.00-40.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,new_group,B_Boys,136,23.81,8.58,5.00,40.00,5.00-40.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,new_group,B_Girls,146,24.18,8.17,6.00,40.00,6.00-40.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,overall,overall,576,24.62,4.88,0.00,31.00,0.00-31.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,group,A,294,24.98,4.57,8.00,31.00,8.00-31.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,group,B,282,24.24,5.16,0.00,31.00,0.00-31.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,gender,Boys,285,24.31,5.07,0.00,31.00,0.00-31.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,gender,Girls,291,24.91,4.66,5.00,31.00,5.00-31.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,new_group,A_Boys,149,24.43,4.91,9.00,31.00,9.00-31.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,new_group,A_Girls,145,25.54,4.14,8.00,31.00,8.00-31.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,new_group,B_Boys,136,24.18,5.26,0.00,31.00,0.00-31.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,new_group,B_Girls,146,24.29,5.07,5.00,31.00,5.00-31.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_relation,continuous,overall,overall,576,8.75,2.47,0.00,12.00,0.00-12.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_relation,continuous,group,A,294,8.85,2.38,0.00,12.00,0.00-12.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_relation,continuous,group,B,282,8.65,2.56,0.00,12.00,0.00-12.00
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_relation,continuous,gender,Boys,285,8.61,2.59,0.00,12.00,0.00-12.00
